Customer_PO,Style,Color,Shipping_Method,Shipped_Date,Qty,Matched,Match_Type
4755,LFA24B05,476 - WOLF BLUE,SEA,2025-06-05 00:00:00.0000000,353,True,exact
4755,LFA24B21,001 - SHEPHERD,SEA,2025-06-05 00:00:00.0000000,152,True,exact
4755,LFA24I21,001 - SHEPHERD,SEA-FB,2025-06-05 00:00:00.0000000,151,True,exact
4755,LFA24K77,100 - ARCTIC,AIR,2025-06-14 00:00:00.0000000,213,True,exact
4755,LFA25B09A,051 - SMOKE HEATHER,AIR,2025-06-27 00:00:00.0000000,603,True,exact
4755,LFA25B26,531 - WISTERIA,AIR,2025-06-27 00:00:00.0000000,132,True,exact
4755,LFA25B28,531 - WISTERIA,AIR,2025-07-12 00:00:00.0000000,443,True,exact
4755,LFA25B41A,995 - WISTERIA MULTI,AIR,2025-07-12 00:00:00.0000000,385,True,exact
4755,LFA25B68,021 - DARK GREY HEATHER,AIR,2025-06-27 00:00:00.0000000,153,True,exact
4755,LFA25K50,050 - LIGHT GREY HEATHER,SEA,2025-06-05 00:00:00.0000000,268,True,exact
4755,LFA25K62,050 - LIGHT GREY HEATHER,SEA-FB,2025-06-05 00:00:00.0000000,268,True,exact
4755,LFA25K79,531 - WISTERIA,SEA-FB,2025-06-05 00:00:00.0000000,365,True,exact
4755,LFA25K91A,994 - AIR,AIR,2025-07-25 00:00:00.0000000,189,True,exact
4755,LFA25K98,531 - WISTERIA,AIR,2025-07-25 00:00:00.0000000,182,True,exact
4755,LFA25O77,001 - SHEPHERD,AIR,2025-07-25 00:00:00.0000000,169,True,exact
4755,LSP24K59,100 - ARCTIC,AIR,2025-06-27 00:00:00.0000000,253,True,exact
4755,LSP24K79,476 - WOLF BLUE,SEA-FB,2025-06-05 00:00:00.0000000,792,True,exact
4755,LSP24K88,100 - ARCTIC,AIR,2025-06-14 00:00:00.0000000,854,True,exact
4755,LSP25B91,050 - LIGHT GREY HEATHER,AIR,2025-05-22 00:00:00.0000000,103,True,exact
4755,LSP25K86M,050 - LIGHT GREY HEATHER,AIR,2025-06-05 00:00:00.0000000,163,True,exact
4755,SYFA24D07,100 - ARCTIC,AIR,2025-06-05 00:00:00.0000000,303,True,exact
4755,SYFA25B08,417 - MALTESE BLUE,AIR,2025-06-05 00:00:00.0000000,212,True,exact
4755,SYFA25B08,476 - WOLF BLUE,SEA,2025-06-05 00:00:00.0000000,157,True,exact
4755,SYFA25B11,417 - MALTESE BLUE,AIR,2025-06-05 00:00:00.0000000,418,True,exact
4755,SYFA25B11A,995 - WISTERIA MULTI,AIR,2025-06-27 00:00:00.0000000,181,True,exact
4755,SYFA25B12,476 - WOLF BLUE,SEA,2025-06-05 00:00:00.0000000,158,True,exact
4755,SYFA25B24,100 - ARCTIC,AIR,2025-06-27 00:00:00.0000000,315,True,exact
4755,SYFA25B28,531 - WISTERIA,AIR,2025-07-12 00:00:00.0000000,159,True,exact
4755,SYFA25D05A,995 - WISTERIA MULTI,AIR,2025-06-14 00:00:00.0000000,185,True,exact
4755,SYFA25D08,234 - ARCTIC/WOLF BLUE,SEA-FB,2025-06-05 00:00:00.0000000,308,False,none
4755,SYFA25K51,531 - WISTERIA,AIR,2025-06-14 00:00:00.0000000,237,True,exact
4755,SYSP25D05,417 - MALTESE BLUE,SEA-FB,2025-06-05 00:00:00.0000000,416,True,exact
4755,SYSP25K51,417 - MALTESE BLUE,AIR,2025-06-14 00:00:00.0000000,420,True,exact
